logging to /Users/nadavminkowitz/neuron/neuron/results/activity2.tsv
one sample every 15s
recorded: app name, dwell, idle, notification COUNT, battery, audio, wifi
NOT recorded: window titles, URLs, keystrokes, clipboard, file names,
              screen contents, notification text

stop with Ctrl+C. Leave it running for a month.

  6040 samples, 10:02, Safari, idle 0s, notif 0
  6080 samples, 10:12, Safari, idle 0s, notif 0
  6120 samples, 10:22, Safari, idle 84s, notif 0
  6160 samples, 10:36, Safari, idle 1s, notif 0
  6200 samples, 10:46, Safari, idle 0s, notif 0
  6240 samples, 10:56, Microsoft OneNote, idle 67s, notif 0
  6280 samples, 11:06, Microsoft OneNote, idle 0s, notif 0
  6320 samples, 11:19, Microsoft OneNote, idle 0s, notif 0
  6360 samples, 11:29, Microsoft OneNote, idle 2s, notif 0
  6400 samples, 11:39, Safari, idle 39s, notif 0
  6440 samples, 11:49, Safari, idle 0s, notif 0
  6480 samples, 11:59, Microsoft OneNote, idle 115s, notif 0
  6520 samples, 13:06, Safari, idle 330s, notif 0
  6560 samples, 13:39, Safari, idle 0s, notif 0
  6600 samples, 13:55, Safari, idle 1s, notif 0
  6640 samples, 14:05, Safari, idle 6s, notif 0
  6680 samples, 14:15, Safari, idle 29s, notif 0
  6720 samples, 14:25, Code, idle 0s, notif 0
  6760 samples, 14:35, Microsoft OneNote, idle 0s, notif 0
  6800 samples, 16:48, FaceTime, idle 0s, notif 0
  6840 samples, 17:14, FaceTime, idle 6s, notif 0
  6880 samples, 17:24, Microsoft OneNote, idle 14s, notif 0
  6920 samples, 18:31, Messages, idle 163s, notif 0
  6960 samples, 18:53, Microsoft OneNote, idle 0s, notif 0
  7000 samples, 19:03, Microsoft OneNote, idle 0s, notif 0
  7040 samples, 19:13, Microsoft OneNote, idle 0s, notif 0
  7080 samples, 19:23, Safari, idle 119s, notif 0
  7120 samples, 19:35, Safari, idle 0s, notif 0
  7160 samples, 19:45, Safari, idle 14s, notif 0
  7200 samples, 19:55, Safari, idle 273s, notif 0
  7240 samples, 20:05, Safari, idle 874s, notif 0
  7280 samples, 20:15, Safari, idle 81s, notif 0
  7320 samples, 20:29, Safari, idle 105s, notif 0
  7360 samples, 20:39, Safari, idle 523s, notif 0
  7400 samples, 20:49, Safari, idle 2s, notif 0
  7440 samples, 20:59, Safari, idle 0s, notif 0
  7480 samples, 21:09, Safari, idle 6s, notif 0
  7520 samples, 21:19, Safari, idle 5s, notif 0
  7560 samples, 21:29, Safari, idle 31s, notif 0
  7600 samples, 21:39, Safari, idle 2s, notif 0
  7640 samples, 21:49, Safari, idle 10s, notif 0
  7680 samples, 21:59, Safari, idle 8s, notif 0
  7720 samples, 22:09, Safari, idle 10s, notif 0
  7760 samples, 22:19, Safari, idle 2s, notif 0
  7800 samples, 02:16, Safari, idle 459s, notif 0
  7840 samples, 06:50, Safari, idle 1031s, notif 0
  7880 samples, 08:08, Safari, idle 0s, notif 0
  7920 samples, 08:18, Safari, idle 0s, notif 0
  7960 samples, 08:28, Safari, idle 0s, notif 0
  8000 samples, 08:38, Safari, idle 0s, notif 0
  8040 samples, 09:32, Safari, idle 0s, notif 0
  8080 samples, 09:42, Safari, idle 0s, notif 0
  8120 samples, 09:52, Safari, idle 39s, notif 0
  8160 samples, 10:02, Safari, idle 48s, notif 0
  8200 samples, 10:12, Safari, idle 11s, notif 0
  8240 samples, 10:22, Safari, idle 0s, notif 0
  8280 samples, 10:32, Safari, idle 0s, notif 0
  8320 samples, 10:42, Safari, idle 0s, notif 0
  8360 samples, 10:52, Code, idle 56s, notif 0
  8400 samples, 13:18, Microsoft OneNote, idle 24s, notif 0
